203,Mechový dort       ,3.0,267.00,17.02.2023
220,Pana Cotta         ,1.0,69.00,17.02.2023
10,Espresso           ,3.0,156.00,18.02.2023
11,Espresso Lungo     ,7.0,364.00,18.02.2023
12,Espresso Doppio    ,1.0,68.00,18.02.2023
14,Cappuccino         ,9.0,585.00,18.02.2023
17,Latté Macchiato    ,1.0,69.00,18.02.2023
18,Espresso Tonic     ,1.0,75.00,18.02.2023
21,Vídeňská káva      ,3.0,186.00,18.02.2023
22,Alžírská káva      ,1.0,69.00,18.02.2023
30,Domácí limonáda,1.0,65.00,18.02.2023
32,Domácí limonáda,1.0,65.00,18.02.2023
36,"Royal Crown Cola Zero 0,25l ",1.0,49.00,18.02.2023
37,"Jemně perlivá 0,33l ",1.0,39.00,18.02.2023
42,Rauch džus,1.0,49.00,18.02.2023
45,"Chito Tonic 0,25l  ",1.0,49.00,18.02.2023
47,Karafa vody 1l     ,1.0,65.00,18.02.2023
48,Čaj - černý Earl Grey ,1.0,55.00,18.02.2023
49,Čaj - Levandule&heřmánek ,1.0,55.00,18.02.2023
50,Čaj - Jasmín a zelený čaj ,1.0,55.00,18.02.2023
53,Čaj - mátový       ,1.0,55.00,18.02.2023
70,Cuba libre         ,1.0,119.00,18.02.2023
84,"Crodino 0,1l       ",1.0,39.00,18.02.2023
92,Baileys`           ,2.0,120.00,18.02.2023
103,"Chardonnay 0,2l    ",1.0,60.00,18.02.2023
110,"Pilsner Urquell 0,33l ",1.0,49.00,18.02.2023
200,Lotus dort         ,1.0,89.00,18.02.2023
201,Čokoládovo-ořechový dort ,3.0,267.00,18.02.2023
202,Pistáciový dort    ,2.0,178.00,18.02.2023
203,Mechový dort       ,5.0,445.00,18.02.2023
205,Koňak špička       ,1.0,89.00,18.02.2023
206,Meruňka jogurt dort ,1.0,89.00,18.02.2023
206,Ogar - meruňka jogurt ,1.0,89.00,18.02.2023
207,Rafaelo dort       ,1.0,89.00,18.02.2023
220,Pana Cotta         ,1.0,69.00,18.02.2023
231,Quiche             ,1.0,79.00,18.02.2023
232,Škvarková pomazánka ,1.0,79.00,18.02.2023
10,Espresso           ,2.0,104.00,19.02.2023
11,Espresso Lungo     ,5.0,260.00,19.02.2023
13,Americano          ,3.0,165.00,19.02.2023
14,Cappuccino         ,1.0,65.00,19.02.2023
15,Flat White         ,1.0,75.00,19.02.2023
17,Latté Macchiato    ,5.0,345.00,19.02.2023
20,Babyccino          ,1.0,34.00,19.02.2023
21,Vídeňská káva      ,3.0,186.00,19.02.2023
30,Domácí limonáda,3.0,195.00,19.02.2023
32,Domácí limonáda,2.0,130.00,19.02.2023
38,"Neperlivá 0,33l    ",1.0,39.00,19.02.2023
41,Rauch džus,1.0,49.00,19.02.2023
42,Rauch džus,2.0,98.00,19.02.2023
45,"Chito Tonic 0,25l  ",1.0,49.00,19.02.2023
103,"Chardonnay 0,2l    ",1.0,60.00,19.02.2023
200,Lotus dort         ,2.0,178.00,19.02.2023
202,Pistáciový dort    ,1.0,89.00,19.02.2023
203,Mechový dort       ,4.0,356.00,19.02.2023
204,Punčový dort       ,1.0,69.00,19.02.2023
205,Koňak špička dort  ,2.0,178.00,19.02.2023
206,Meruňka jogurt dort ,1.0,89.00,19.02.2023
207,Rafaelo dort       ,1.0,89.00,19.02.2023
220,Pana Cotta         ,2.0,138.00,19.02.2023
231,Quiche             ,2.0,158.00,19.02.2023
235,Škvarková pomazánka kavárna ,1.0,109.00,19.02.2023
10,Espresso           ,4.0,208.00,20.02.2023
11,Espresso Lungo     ,8.0,416.00,20.02.2023
14,Cappuccino         ,2.0,130.00,20.02.2023
17,Latté Macchiato    ,2.0,138.00,20.02.2023
18,Espresso Tonic     ,1.0,75.00,20.02.2023
21,Vídeňská káva      ,1.0,62.00,20.02.2023
38,"Neperlivá 0,33l    ",3.0,117.00,20.02.2023
103,"Chardonnay 0,2l    ",2.0,120.00,20.02.2023
105,"Prosecco - Alzaia Glera 0,1l ",5.0,245.00,20.02.2023
109,"Pinot Gris 0,2l    ",2.0,120.00,20.02.2023
200,Lotus dort         ,2.0,178.00,20.02.2023
201,Čokoládovo-ořechový dort ,1.0,89.00,20.02.2023
203,Mechový dort       ,2.0,188.00,20.02.2023
204,Punčový dort       ,2.0,178.00,20.02.2023
206,Meruňka jogurt dort ,2.0,178.00,20.02.2023
207,Rafaelo dort       ,1.0,89.00,20.02.2023
231,Quiche             ,2.0,158.00,20.02.2023
11,Espresso Lungo     ,8.0,416.00,21.02.2023
12,Espresso Doppio    ,1.0,68.00,21.02.2023
16,Espresso Macchiato ,1.0,55.00,21.02.2023
21,Vídeňská káva      ,1.0,62.00,21.02.2023
22,Alžírská káva      ,1.0,69.00,21.02.2023
30,Domácí limonáda,1.0,65.00,21.02.2023
38,"Neperlivá 0,33l    ",1.0,39.00,21.02.2023
94,Jägermeister 4cl   ,2.0,120.00,21.02.2023
103,"Chardonnay 0,2l    ",3.0,180.00,21.02.2023
204,Punčový dort       ,2.0,178.00,21.02.2023
205,Koňak špička dort  ,2.0,178.00,21.02.2023
207,Rafaelo dort       ,1.0,89.00,21.02.2023
220,Pana Cotta         ,1.0,69.00,21.02.2023
0,Zaokrouhlení       ,1.0,0.50,22.02.2023
11,Espresso Lungo     ,6.0,312.00,22.02.2023
14,Cappuccino         ,2.0,130.00,22.02.2023
17,Latté Macchiato    ,1.0,69.00,22.02.2023
22,Alžírská káva      ,1.0,69.00,22.02.2023
30,Domácí limonáda,3.0,195.00,22.02.2023
32,Domácí limonáda,0.5,32.50,22.02.2023
38,"Neperlivá 0,33l    ",1.0,39.00,22.02.2023
42,Rauch džus,2.0,98.00,22.02.2023
49,Čaj - Levandule&heřmánek ,1.0,55.00,22.02.2023
